alamat,harga,jumlah_kamar,luas_bangunan,luas_lahan
"Kalimulya, Depok",650000000,2,45,72
"Kalibaru, Depok",895000000,3,70,70
Depok,495000000,2,42,40
"Kukusan, Depok",1195000000,3,85,66
"Beji, Depok",1100000000,3,108,62
"Beji, Depok",1595000000,3,130,71
"Pancoran Mas, Depok",1450000000,4,140,95
"Beji, Depok",1295000000,3,115,84
"Pancoran Mas, Depok",750000000,2,50,88
"Pancoran Mas, Depok",895000000,3,80,58
"Cinere, Depok",5750000000,7,270,450
"Pancoran Mas, Depok",850000000,3,70,83
"Grogol, Depok",550000000,2,36,60
"Sawangan, Depok",630000000,2,52,72
"Sawangan, Depok",1300000000,3,71,74
"Cinere, Depok",4900000000,4,200,250
"Depok, Depok",1500000000,2,89,85
"Cinangka, Depok",1300000000,3,70,106
"Tapos, Depok",1700000000,4,120,112
"Cipayung, Depok",495000000,2,38,66
"Sawangan, Depok",860000000,3,70,72
"Cilodong, Depok",775000000,2,50,73
"Pangkalan Jati, Depok",3500000000,17,500,259
"Tanah Baru, Depok",1125000000,2,50,90
"Serua, Depok",1080000000,2,43,130
"Bojongsari, Depok",1275000000,3,75,124
"Sawangan, Depok",660000000,2,50,82
"Cilangkap, Depok",880000000,2,42,90
"Sukatani, Depok",1110000000,3,90,135
"Jatimulya, Depok",660000000,2,72,72
"Cinere, Depok",4500000000,4,300,700
"Cinere, Depok",1526000000,3,75,65
"Pancoran Mas, Depok",585000000,3,70,50
"Pondok Petir, Depok",1247500000,3,75,84
"Pengasinan, Depok",450000000,2,60,90
"Kalibaru, Depok",525000000,2,55,72
"Margonda, Depok",495000000,2,38,65
"Sukmajaya, Depok",2320000000,10,240,82
"Tapos, Depok",1150000000,5,180,90
"Cilodong, Depok",765000000,3,56,60
"Cipayung, Depok",492000000,2,36,72
Depok,405000000,2,36,60
"Sawangan, Depok",365000000,2,36,72
"Sawangan, Depok",380000000,2,42,27
"Tanah Baru, Depok",990000000,3,105,63
"Cimanggis, Depok",1000000000,3,128,128
Depok,175000000,2,30,40
"Tirtajaya, Depok",1400000000,3,70,150
"Cilodong, Depok",514000000,2,50,114
"Cilangkap, Depok",555000000,2,46,40
"Rangkapan Jaya, Depok",555000000,2,36,59
"Cilodong, Depok",588000000,2,42,44
"Pancoran Mas, Depok",385000000,2,36,60
"Cimanggis, Depok",790000000,3,72,60
"Cimanggis, Depok",790000000,3,72,60
"Pancoran Mas, Depok",790000000,3,72,60
"Sawangan, Depok",610000000,2,41,72
"Sawangan, Depok",610000000,2,41,75
"Sawangan, Depok",1140000000,2,70,110
Depok,500000000,2,45,72
"Cimanggis, Depok",890000000,2,54,90
"Sawangan, Depok",248000000,2,45,60
"Pancoran Mas, Depok",2500000000,5,200,155
"Cinere, Depok",650000000,4,150,169
"Cimanggis, Depok",2500000000,4,265,300
"Cinere, Depok",1450000000,2,90,119
"Bojongsari, Depok",450000000,2,65,110
"Sukmajaya, Depok",1070000000,2,47,110
"Cipayung, Depok",350000000,2,36,42
"Cilodong, Depok",600000000,2,43,72
"Limo, Depok",2200000000,3,150,120
"Citayam, Depok",450600000,2,40,66
"Cinere, Depok",780000000,3,70,60
"Depok Jaya, Depok",890000000,3,70,85
Depok,1900000000,3,105,90
"Pancoran Mas, Depok",426500000,2,40,65
"Limo, Depok",1640000000,5,95,84
"Tapos, Depok",1190000000,4,120,129
"Sawangan, Depok",1560000000,3,90,109
"Citayam, Depok",245000000,2,40,50
"Beji, Depok",762600000,2,58,46
"Beji, Depok",1250000000,3,120,64
"Tapos, Depok",890000000,2,54,90
"Sawangan, Depok",1000000000,3,121,120
"Sawangan, Depok",520000000,2,40,60
"Margonda, Depok",928000000,3,97,80
"Cilodong, Depok",975000000,3,150,77
"Tapos, Depok",1000000000,3,100,60
"Beji, Depok",1000000000,3,100,60
"Depok, Depok",540000000,2,45,85
"Pancoran Mas, Depok",960000000,3,85,54
"Tapos, Depok",1000000000,3,100,60
"Beji, Depok",1000000000,3,100,60
"Cipayung, Depok",1000000000,3,100,60
"Cipayung, Depok",265000000,2,21,50
"Cinere, Depok",5500000000,4,163,665
"Harjamukti, Depok",5320000000,5,590,500
"Cimanggis, Depok",2200000000,3,157,163
"Harjamukti, Depok",520000000,2,40,53
"Citayam, Depok",1000000000,3,85,127
"Sawangan, Depok",630000000,2,36,61
"Kukusan, Depok",1389000000,3,80,72
"Sawangan, Depok",2788000000,4,124,134
"Beji, Depok",2200000000,2,180,248
"Sawangan, Depok",1380000000,3,75,150
"Margonda, Depok",928000000,3,97,80
"Cilodong, Depok",975000000,3,150,77
Depok,2500000000,3,115,120
"Bojongsari, Depok",799000000,2,90,108
"Tugu, Depok",600000000,2,92,92
"Cinere, Depok",3200000000,4,230,180
"Gandul, Depok",13000000000,6,700,956
"Cipayung, Depok",265000000,2,21,50
"Cinere, Depok",5500000000,4,163,665
"Kukusan, Depok",1389000000,3,80,72
"Beji, Depok",2200000000,2,180,248
"Sawangan, Depok",2788000000,4,124,134
"Citayam, Depok",1000000000,3,85,127
"Sawangan, Depok",630000000,2,36,61
Depok,890000000,2,54,90
"Beji, Depok",1625000000,3,140,96
"Harjamukti, Depok",900000000,3,82,44
"Tapos, Depok",900000000,3,140,150
"Tapos, Depok",420000000,2,70,58
"Bojongsari, Depok",535000000,2,40,77
"Depok, Depok",1000000000,3,120,72
"Cilodong, Depok",650000000,2,38,60
"Sawangan, Depok",678000000,3,72,53
"Cilodong, Depok",600000000,4,60,70
"Sawangan, Depok",3800000000,4,235,200
"Cimanggis, Depok",820000000,3,81,59
"Jatimulya, Depok",925000000,3,75,65
"Tapos, Depok",1100000000,3,100,60
"Kelapa Dua, Depok",799000000,3,68,66
"Kelapa Dua, Depok",790000000,3,68,66
"Sawangan, Depok",390000000,2,42,60
"Serua, Depok",2200000000,4,200,291
"Citayam, Depok",250000000,2,40,50
"Citayam, Depok",245000000,2,40,50
"Beji, Depok",1250000000,3,120,64
"Beji, Depok",762600000,2,58,46
"Bojongsari, Depok",450000000,2,65,110
Depok,1900000000,3,105,90
"Cinere, Depok",1935000000,4,155,90
"Tapos, Depok",456000000,2,46,40
"Tapos, Depok",776000000,3,60,50
"Cilodong, Depok",647000000,2,84,40
"Tapos, Depok",1000000000,3,100,60
"Cinere, Depok",5500000000,8,350,300
Depok,900000000,3,62,50
"Cimanggis, Depok",880000000,3,81,83
"Cimanggis, Depok",4900000000,4,330,250
"Tapos, Depok",2500000000,3,180,180
"Cimanggis, Depok",2500000000,4,280,200
Depok,12500000000,6,450,720
"Tapos, Depok",905000000,3,60,90
"Tapos, Depok",3500000000,11,1000,658
"Tapos, Depok",925000000,4,90,98
"Beji, Depok",1500000000,4,110,84
"Beji, Depok",990000000,3,96,50
"Cilodong, Depok",599000000,3,50,40
"Sawangan, Depok",700000000,2,75,90
"Sukmajaya, Depok",900000000,3,75,73
"Cimanggis, Depok",1500000000,3,58,80
"Limo, Depok",1500000000,2,60,75
"Depok, Depok",380000000,3,32,60
"Sawangan, Depok",1350000000,4,95,120
"Tapos, Depok",900000000,3,140,150
"Depok, Depok",1000000000,3,120,72
"Cilodong, Depok",600000000,4,60,70
"Sawangan, Depok",678000000,3,72,53
"Sawangan, Depok",3800000000,4,235,200
"Harjamukti, Depok",900000000,3,82,44
"Cilodong, Depok",650000000,2,38,60
"Tapos, Depok",420000000,2,70,58
"Bojongsari, Depok",535000000,2,40,77
"Beji, Depok",1625000000,3,140,96
"Cinere, Depok",400000000,2,45,65
"Pancoran Mas, Depok",675000000,3,120,91
"Margonda, Depok",190000000,2,40,53
"Sawangan, Depok",610000000,2,45,72
"Cinere, Depok",1599000000,3,210,106
"Sawangan Baru, Depok",900000000,2,47,72
Depok,957000000,2,70,64
"Cipayung, Depok",790000000,3,72,60
"Tanah Baru, Depok",1600000000,3,140,90
"Cinangka, Depok",1228200000,3,70,102
"Tapos, Depok",1290000000,3,80,105
"Tapos, Depok",1765500000,3,150,134
"Pancoran Mas, Depok",775750000,2,60,95
"Harjamukti, Depok",2100000000,4,136,125
"Kelapa Dua, Depok",7800000000,80,1500,1450
"Citayam, Depok",416000000,2,40,65
"Citayam, Depok",440000000,2,40,71
"Cisalak, Depok",1300000000,3,90,48
"Pancoran Mas, Depok",2500000000,5,200,155
"Cinere, Depok",5300000000,4,340,423
"Cimanggis, Depok",920000000,2,51,92
"Kelapa Dua, Depok",820000000,3,81,59
"Cimanggis, Depok",920000000,2,54,90
"Sawangan, Depok",2300000000,4,205,204
"Cinere, Depok",3100000000,3,264,168
"Cimanggis, Depok",820000000,3,81,59
"Cimanggis, Depok",820000000,3,81,59
"Sawangan, Depok",572000000,2,47,72
"Sawangan, Depok",572000000,2,47,72
"Depok, Depok",2000000000,3,245,300
"Limo, Depok",4070000000,3,600,400
"Mampang, Depok",1003312000,2,64,50
"Pancoran Mas, Depok",985000000,3,85,68
"Cinere, Depok",13000000000,4,700,1479
"Cimanggis, Depok",1100000000,3,80,60
"Cilodong, Depok",820000000,3,63,63
"Cinangka, Depok",760000000,2,58,70
"Sukamaju, Depok",685000000,3,59,60
"Beji, Depok",1100000000,3,100,60
"Cipayung, Depok",210000000,2,45,58
"Cimanggis, Depok",799000000,3,74,66
"Jatimulya, Depok",1100000000,3,100,72
"Kalimulya, Depok",1100000000,3,110,94
"Cipayung, Depok",250000000,2,40,50
"Cinere, Depok",5300000000,4,350,795
"Tapos, Depok",500000000,2,30,50
"Tapos, Depok",1000000000,3,100,60
"Sawangan, Depok",900000000,3,78,65
"Sawangan, Depok",1215000000,3,110,95
"Cilodong, Depok",400000000,2,42,41
"Cinere, Depok",3100000000,3,264,168
"Sawangan, Depok",2300000000,4,205,204
"Cimanggis, Depok",820000000,3,81,59
"Cimanggis, Depok",820000000,3,81,59
"Sawangan, Depok",572000000,2,47,72
"Citayam, Depok",416000000,2,40,65
"Harjamukti, Depok",2100000000,4,136,125
"Citayam, Depok",440000000,2,40,71
"Cinere, Depok",5300000000,4,340,423
"Pancoran Mas, Depok",2500000000,5,200,155
"Cisalak, Depok",1300000000,3,90,48
"Jatimulya, Depok",1100000000,3,100,72
"Kalimulya, Depok",1100000000,3,110,94
"Cimanggis, Depok",799000000,3,74,66
"Tapos, Depok",1000000000,3,100,60
"Cipayung, Depok",250000000,2,40,55
"Beji, Depok",1100000000,3,100,60
"Cimanggis, Depok",650000000,1,96,160
"Depok, Depok",1490000000,4,100,90
"Cipayung, Depok",210000000,2,45,58
"Pasir Putih, Depok",255000000,2,40,60
"Cilodong, Depok",810000000,3,70,60
"Beji, Depok",1750000000,4,160,77
"Cinere, Depok",10500000000,8,504,1005
"Tapos, Depok",700000000,2,100,100
"Cinere, Depok",550000000,3,60,60
"Bojongsari, Depok",594000000,2,30,60
"Tapos, Depok",1610000000,3,91,96
"Sawangan, Depok",695000000,3,74,54
"Sawangan, Depok",400000000,2,49,46
"Cilodong, Depok",765000000,3,59,60
"Cimanggis, Depok",600000000,3,50,60
"Kalimulya, Depok",650000000,2,45,67
"Cinere, Depok",4900000000,2,160,300
"Tanah Baru, Depok",2300000000,3,84,84
"Cinere, Depok",17500000000,6,940,800
Depok,950000000,2,298,298
"Cilodong, Depok",629000000,3,50,60
"Ratujaya, Depok",370000000,2,30,50
"Cilodong, Depok",400000000,2,42,41
"Cinere, Depok",3000000000,4,292,200
"Cimanggis, Depok",1000000000,3,100,60
"Sawangan, Depok",1215000000,3,110,95
"Kukusan, Depok",5850000000,25,850,302
"Cimanggis, Depok",1325000000,4,105,85
"Cimanggis, Depok",900000000,3,82,44
"Harjamukti, Depok",1400000000,3,100,82
"Sawangan, Depok",3500000000,5,500,1000
Depok,1400000000,3,67,60
"Cimanggis, Depok",4500000000,8,200,259
"Sawangan, Depok",600000000,1,27,60
"Depok, Depok",475000000,2,36,84
"Cimanggis, Depok",776000000,3,60,50
"Tapos, Depok",8500000000,6,507,1596
"Sawangan, Depok",2700000000,6,185,416
"Tapos, Depok",2900000000,4,175,225
"Cimanggis, Depok",5500000000,6,520,584
"Cilodong, Depok",885000000,3,60,84
"Tapos, Depok",850000000,2,90,90
"Cimanggis, Depok",800000000,2,40,60
"Cimanggis, Depok",1000000000,3,63,60
"Cimanggis, Depok",1200000000,2,56,64
"Cimanggis, Depok",2000000000,2,89,85
"Tapos, Depok",3800000000,4,300,200
"Kukusan, Depok",4740000000,10,400,178
"Kukusan, Depok",1918000000,6,164,82
"Cipayung, Depok",350000000,2,32,55
"Harjamukti, Depok",8500000000,3,450,320
"Cimanggis, Depok",2135000000,3,90,153
"Cinere, Depok",1700000000,3,88,71
"Cinere, Depok",8500000000,6,400,650
"Beji, Depok",1374200000,3,75,73
"Sawangan, Depok",415000000,2,45,77
"Sawangan Baru, Depok",625000000,2,50,70
"Sawangan Baru, Depok",693000000,2,42,105
"Pengasinan, Depok",390000000,2,45,70
"Bojongsari, Depok",2100000000,7,200,600
"Tapos, Depok",1400000000,4,105,144
"Sawangan, Depok",750000000,2,50,84
"Kalimulya, Depok",810000000,3,70,60
"Sawangan, Depok",300000000,2,70,150
"Cinere, Depok",2131000000,4,130,86
"Cimanggis, Depok",800000000,2,140,105
"Harjamukti, Depok",578000000,2,42,38
"Cipayung, Depok",385000000,3,36,60
"Pondok Cina, Depok",320000000,2,36,55
"Cimanggis, Depok",600000000,2,60,112
"Cipayung Jaya, Depok",750000000,2,65,82
"Cimanggis, Depok",2100000000,9,270,258
"Pancoran Mas, Depok",550000000,3,55,72
"Sawangan, Depok",275000000,2,46,55
"Depok, Depok",1300000000,4,180,120
"Cipayung, Depok",12000000000,5,640,913
"Cimanggis, Depok",2300000000,4,170,155
"Leuwi Nanggung, Depok",3000000000,4,300,350
"Citayam, Depok",610000000,2,41,72
"Cinere, Depok",2500000000,4,250,233
"Cinere, Depok",920880000,2,64,50
"Cinere, Depok",6500000000,7,700,623
"Cilodong, Depok",1820000000,2,45,107
"Cinere, Depok",2247000000,3,101,105
"Cinere, Depok",2920000000,3,185,144
"Kelapa Dua, Depok",1393200000,3,107,86
"Harjamukti, Depok",1350000000,3,95,78
"Bojongsari, Depok",680000000,2,80,108
"Citayam, Depok",550000000,3,60,60
"Cimanggis, Depok",700000000,3,67,53
"Cimanggis, Depok",920000000,3,70,84
"Cimanggis, Depok",1850000000,3,100,116
"Sawangan, Depok",950000000,3,110,120
"Kelapa Dua, Depok",820000000,3,81,59
"Cinere, Depok",1850000000,3,180,108
"Sawangan, Depok",235000000,2,36,50
"Sawangan, Depok",859000000,2,90,108
"Cimanggis, Depok",2600000000,6,317,300
"Pancoran Mas, Depok",715000000,2,36,54
"Pangkalan Jati, Depok",4650000000,4,232,480
"Cimanggis, Depok",645000000,2,42,62
"Bedahan, Depok",390000000,2,36,60
"Citayam, Depok",365000000,2,40,68
"Sawangan, Depok",572000000,2,47,72
"Cipayung, Depok",270000000,2,45,55
"Cinere, Depok",2000000000,4,130,107
"Sawangan, Depok",580000000,2,45,71
"Cipayung, Depok",1000000000,3,100,60
"Cilodong, Depok",650000000,2,48,90
"Tapos, Depok",880000000,2,42,90
"Pancoran Mas, Depok",1220000000,3,62,73
"Cipayung, Depok",255000000,2,40,50
"Cilodong, Depok",1200000000,3,75,85
"Pancoran Mas, Depok",1220000000,3,62,73
"Cipayung, Depok",255000000,2,40,50
"Sawangan, Depok",580000000,2,45,71
"Sawangan, Depok",1100000000,4,101,77
"Cilodong, Depok",650000000,2,48,90
"Cipayung, Depok",660000000,3,90,60
Depok,2100000000,3,100,275
"Cimanggis, Depok",1850000000,3,100,116
Depok,350000000,1,72,90
"Cilodong, Depok",880000000,3,65,77
"Cipayung, Depok",1000000000,3,100,60
"Cilodong, Depok",1200000000,3,75,85
Depok,739000000,2,40,69
"Harjamukti, Depok",1442000000,3,88,67
"Tapos, Depok",830000000,2,30,90
"Harjamukti, Depok",1719000000,4,100,77
"Cimanggis, Depok",835000000,3,80,62
"Beji, Depok",826000000,3,61,60
Depok,1610000000,3,70,112
"Harjamukti, Depok",2060000000,3,72,150
"Tapos, Depok",880000000,2,42,90
"Beji, Depok",1125000000,2,50,90
"Sawangan, Depok",1560000000,3,90,109
"Cinere, Depok",12500000000,6,578,875
Depok,23000000000,5,810,1772
"Cinere, Depok",2300000000,4,155,120
"Cipayung, Depok",550000000,2,36,60
"Limo, Depok",560000000,2,45,62
"Depok, Depok",1450000000,5,150,112
"Pengasinan, Depok",450000000,2,46,60
"Sawangan, Depok",498000000,2,45,72
"Sawangan, Depok",723000000,3,74,54
"Sawangan, Depok",723000000,3,55,54
"Sawangan, Depok",1288000000,3,90,91
"Cimanggis, Depok",1215000000,3,100,54
"Krukut, Depok",1700000000,4,120,156
"Cimanggis, Depok",1000000000,3,100,60
"Cimanggis, Depok",3500000000,4,269,179
"Cimanggis, Depok",3500000000,9,230,536
"Tapos, Depok",1890000000,3,112,112
"Tapos, Depok",800000000,2,40,60
"Cilangkap, Depok",534500000,2,36,72
"Cilodong, Depok",657000000,2,38,60
"Sawangan, Depok",700000000,2,42,56
"Cimanggis, Depok",1400000000,3,100,82
"Sawangan, Depok",497620000,2,42,40
"Sawangan, Depok",1980000000,3,136,112
"Pancoran Mas, Depok",1507000000,3,80,156
"Cimanggis, Depok",985000000,4,80,50
"Beji, Depok",776000000,3,60,50
"Cipayung, Depok",407000000,2,36,60
"Beji, Depok",790000000,3,60,50
"Cilodong, Depok",999000000,3,62,84
"Sukmajaya, Depok",725000000,2,45,88
"Tapos, Depok",543000000,2,40,68
"Tapos, Depok",2360000000,4,100,120
"Tirtajaya, Depok",990000000,3,66,85
"Sawangan, Depok",1200000000,2,80,120
"Cilodong, Depok",900000000,3,62,84
"Bojongsari, Depok",813760000,3,72,62
"Sukmajaya, Depok",916000000,3,57,60
"Citayam, Depok",485000000,2,40,90
"Cimanggis, Depok",2955000000,3,128,119
"Sawangan Baru, Depok",620000000,2,60,80
"Sukatani, Depok",235000000,1,15,48
Depok,800000000,3,53,61
Depok,800000000,3,61,50
"Depok, Depok",1350000000,3,180,112
"Leuwi Nanggung, Depok",2600000000,3,165,540
"Sawangan, Depok",350000000,2,40,60
"Tapos, Depok",790000000,3,72,60
"Limo, Depok",1650000000,4,110,131
Depok,1700000000,3,108,92
"Sawangan, Depok",806000000,3,71,72
"Cimanggis, Depok",975000000,2,100,136
Depok,657000000,2,40,65
"Rangkapan Jaya, Depok",2000000000,5,200,155
"Sawangan, Depok",680000000,3,66,55
"Kukusan, Depok",999000000,3,72,75
"Tapos, Depok",1000000000,3,62,101
"Tapos, Depok",1000000000,3,62,101
"Sawangan, Depok",775750000,2,60,95
"Cipayung, Depok",775750000,2,60,95
"Bojongsari, Depok",456000000,2,39,70
"Sawangan, Depok",235000000,2,36,50
"Cinere, Depok",11500000000,4,638,593
"Bojongsari, Depok",2150000000,3,209,209
"Cimanggis, Depok",2200000000,4,160,200
"Depok, Depok",2700000000,3,102,112
"Cimanggis, Depok",1500000000,6,110,120
"Cilodong, Depok",955000000,3,90,82
"Tanah Baru, Depok",1700000000,4,140,91
Depok,5433750000,2,100,945
"Beji, Depok",1200000000,3,90,87
Depok,750000000,3,65,195
"Cinere, Depok",5500000000,6,230,540
"Kukusan, Depok",999000000,3,72,75
"Rangkapan Jaya, Depok",2000000000,5,200,155
"Tirtajaya, Depok",1215000000,3,80,97
"Cipayung, Depok",1000000000,3,100,60
"Beji, Depok",1000000000,3,100,60
"Pengasinan, Depok",560000000,2,45,72
"Beji, Depok",1067000000,3,75,70
"Rangkapan Jaya, Depok",715000000,2,36,60
"Cipayung, Depok",1000000000,3,100,60
"Citayam, Depok",235000000,2,36,50
"Kelapa Dua, Depok",799000000,3,68,66
"Kelapa Dua, Depok",799000000,3,66,68
"Beji, Depok",1000000000,3,100,60
"Pancoran Mas, Depok",667000000,2,50,50
"Cipayung, Depok",725000000,2,45,77
"Cipayung, Depok",725000000,2,45,75
"Depok, Depok",5600000000,4,322,300
"Sukmajaya, Depok",1100000000,3,90,120
"Sawangan, Depok",895000000,2,50,95
"Kukusan, Depok",1900000000,6,164,82
Depok,150000000,2,27,30
"Beji, Depok",1200000000,3,90,87
Depok,750000000,3,65,195
Depok,5433750000,2,100,945
"Beji, Depok",750000000,4,107,107
"Depok, Depok",725000000,2,45,77
Depok,1260000000,4,123,93
"Cinere, Depok",5500000000,6,230,540
"Bojongsari, Depok",1500000000,3,60,116
"Tapos, Depok",820000000,3,72,60
"Cinere, Depok",1250000000,3,105,123
"Cimanggis, Depok",875000000,2,30,90
Depok,920000000,2,54,90
"Beji, Depok",2350000000,3,180,118
"Cimanggis, Depok",775000000,3,66,68
"Cimanggis, Depok",775000000,3,68,66
Depok,1300000000,4,140,84
"Cimanggis, Depok",890000000,3,71,70
"Cilodong, Depok",955000000,3,90,82
"Limo, Depok",600000000,2,42,60
"Cinere, Depok",1890000000,3,155,87
"Cipayung, Depok",265000000,2,33,42
"Sawangan, Depok",425000000,2,40,56
"Cinere, Depok",1700000000,3,170,149
"Rangkapan Jaya, Depok",1350000000,3,154,87
"Rangkapan Jaya, Depok",715000000,2,36,60
"Sawangan, Depok",2350000000,5,215,160
"Kalimulya, Depok",550000000,2,36,90
"Harjamukti, Depok",1445000000,3,95,78
"Sawangan, Depok",572000000,2,47,72
"Beji, Depok",1067000000,3,75,70
"Pengasinan, Depok",560000000,2,45,72
"Bojongsari, Depok",745000000,3,80,70
"Tirtajaya, Depok",1215000000,3,80,97
"Tirtajaya, Depok",1100000000,3,100,71
"Harjamukti, Depok",1195000000,4,100,51
"Cimanggis, Depok",3200000000,4,270,180
"Depok, Depok",2950000000,4,293,276
"Sawangan, Depok",800000000,3,60,48
"Sawangan, Depok",600000000,2,38,78
"Serua, Depok",402000000,2,36,76
"Cimanggis, Depok",1100000000,3,100,60
"Limo, Depok",3500000000,4,150,165
"Cinere, Depok",10000000000,8,700,596
"Cimanggis, Depok",650000000,2,36,62
Depok,1500000000,5,192,96
"Cinere, Depok",11000000000,7,600,795
"Sukmajaya, Depok",750000000,3,50,112
"Cinere, Depok",6000000000,6,350,502
"Cinere, Depok",3500000000,4,200,300
"Pancoran Mas, Depok",667000000,2,50,50
"Cinere, Depok",2900000000,4,242,230
"Leuwi Nanggung, Depok",1000000000,3,107,93
"Depok, Depok",750000000,2,50,55
"Sawangan, Depok",496000000,3,57,42
"Bojongsari, Depok",350000000,2,40,60
"Sawangan, Depok",735000000,3,74,53
"Sawangan, Depok",678000000,3,74,53
"Sawangan, Depok",1780000000,3,110,98
"Sawangan, Depok",496000000,3,57,42
"Bojongsari, Depok",350000000,2,40,60
"Sawangan, Depok",678000000,3,74,53
"Sawangan, Depok",735000000,3,74,53
"Cilangkap, Depok",500000000,2,46,40
"Rangkapan Jaya, Depok",1350000000,5,130,96
"Depok Jaya, Depok",500000000,2,46,60
Depok,560000000,2,38,60
"Cimanggis, Depok",4000000000,4,300,176
"Sawangan, Depok",1780000000,3,110,98
"Cimanggis, Depok",1700000000,3,230,200
"Tapos, Depok",5000000000,4,360,250
"Cimanggis, Depok",2700000000,3,120,200
"Cilodong, Depok",1000000000,3,110,70
"Tapos, Depok",5500000000,3,322,300
"Mekarsari, Depok",500000000,2,42,70
"Leuwi Nanggung, Depok",1000000000,3,107,93
"Cinere, Depok",2900000000,4,242,230
"Depok, Depok",750000000,2,50,55
"Cinere, Depok",1750000000,3,100,100
"Depok, Depok",2000000000,5,140,90
"Margonda, Depok",1090000000,3,125,68
Depok,675000000,2,64,84
Depok,667000000,2,50,50
"Limo, Depok",2400000000,3,110,114
"Cinere, Depok",790000000,3,72,60
"Cipayung, Depok",790000000,3,72,60
"Cimanggis, Depok",790000000,3,72,60
"Beji, Depok",560000000,2,37,59
"Pengasinan, Depok",680000000,3,66,55
"Cinere, Depok",610000000,2,41,72
"Sukmajaya, Depok",300000000,4,85,85
"Limo, Depok",850000000,2,60,84
"Pancoran Mas, Depok",1020000000,2,40,84
"Cimanggis, Depok",910000000,3,100,150
"Cilodong, Depok",1100000000,3,100,180
"Cilodong, Depok",4200000000,4,400,180
"Citayam, Depok",175000000,2,45,45
"Beji, Depok",1049000000,3,80,55
"Rangkapan Jaya, Depok",788000000,3,70,72
"Cimanggis, Depok",810000000,3,60,50
"Pancoran Mas, Depok",650000000,3,50,50
"Citayam, Depok",436000000,2,40,70
"Citayam, Depok",499000000,2,40,67
"Sawangan Baru, Depok",1400000000,3,130,240
"Bojongsari, Depok",2100000000,4,250,125
"Depok, Depok",1500000000,4,73,72
"Kelapa Dua, Depok",820000000,3,81,59
"Depok, Depok",2700000000,8,300,658
"Cinere, Depok",2300000000,3,130,90
"Bojongsari, Depok",799000000,2,90,109
"Sawangan, Depok",675000000,2,50,70
"Cimanggis, Depok",820000000,3,81,59
"Beji, Depok",1150000000,3,75,60
"Bojongsari, Depok",610000000,2,41,72
"Pancoran Mas, Depok",1360000000,3,88,84
"Sawangan, Depok",208000000,2,36,42
"Sawangan, Depok",388200000,2,40,60
"Cinere, Depok",1750000000,3,140,108
"Cilodong, Depok",610000000,2,50,40
"Cilodong, Depok",680000000,2,45,70
"Cilodong, Depok",545000000,3,60,60
"Cilodong, Depok",1100000000,3,110,80
"Bojongsari, Depok",859000000,2,90,108
"Sukmajaya, Depok",950000000,3,86,72
"Cipayung, Depok",1100000000,3,100,60
"Tapos, Depok",1200000000,5,120,105
"Cipayung, Depok",1100000000,3,100,60
"Tapos, Depok",1200000000,5,120,105
"Pancoran Mas, Depok",650000000,3,50,50
"Beji, Depok",1049000000,3,80,55
"Rangkapan Jaya, Depok",788000000,3,70,72
"Cimanggis, Depok",810000000,3,60,50
"Cinere, Depok",1985000000,4,130,87
"Kelapa Dua, Depok",749000000,3,60,55
"Cinere, Depok",1400000000,2,87,62
"Cinere, Depok",3750000000,4,150,123
"Bojongsari, Depok",850000000,3,83,84
"Beji, Depok",900000000,2,69,99
"Depok, Depok",2000000000,4,149,128
"Sawangan, Depok",1363000000,3,90,96
Depok,975000000,3,61,71
Depok,970000000,3,80,76
"Cimanggis, Depok",1100000000,3,90,105
"Sawangan, Depok",500000000,2,49,46
"Sawangan, Depok",780000000,3,45,81
"Limo, Depok",12000000000,6,500,600
"Cinere, Depok",11000000000,5,2500,1125
"Sukmajaya, Depok",950000000,3,86,72
"Harjamukti, Depok",964000000,3,74,56
"Cimanggis, Depok",520000000,2,50,72
"Depok, Depok",1005000000,3,70,77
"Cimanggis, Depok",6390000000,5,590,500
"Harjamukti, Depok",1100000000,3,100,60
"Cimanggis, Depok",1000000000,3,100,60
"Cinere, Depok",1700000000,3,88,71
"Cinere, Depok",11000000000,5,2500,1125
"Cipayung, Depok",776000000,3,60,50
"Kelapa Dua, Depok",1052000000,3,73,61
"Cimanggis, Depok",790000000,3,60,50
"Cimanggis, Depok",3200000000,5,325,440
"Cinere, Depok",6900000000,5,300,630
"Tapos, Depok",900000000,2,40,60
"Cimanggis, Depok",960000000,2,64,105
"Pancoran Mas, Depok",1336000000,3,70,85
"Beji, Depok",900000000,2,69,99
Depok,975000000,3,61,71
"Cimanggis, Depok",1100000000,3,90,105
"Sawangan, Depok",1363000000,3,90,96
"Sawangan, Depok",780000000,3,45,81
"Sawangan, Depok",500000000,2,49,46
"Bojongsari, Depok",850000000,3,83,84
Depok,970000000,3,80,76
"Depok, Depok",2000000000,4,149,128
"Cinere, Depok",1985000000,4,130,87
"Kelapa Dua, Depok",749000000,3,60,55
"Limo, Depok",12000000000,6,500,600
"Cinere, Depok",1400000000,2,87,62
"Cinere, Depok",3750000000,4,150,123
"Pangkalan Jati Baru, Depok",2300000000,4,100,120
"Beji, Depok",1000000000,3,100,60
"Sukmajaya, Depok",1200000000,3,75,84
"Kelapa Dua, Depok",1400000000,3,160,60
"Pancoran Mas, Depok",975000000,3,140,100
