alamat,harga,jumlah_kamar,luas_bangunan,luas_lahan
"Cinere, Depok",1700000000,3,88,71
"Sawangan, Depok",1185000000,2,96,140
"Sawangan, Depok",1300000000,3,200,360
"Tanah Baru, Depok",515140000,2,41,42
"Cipayung, Depok",439200000,3,36,72
"Cimanggis, Depok",610000000,2,41,72
"Sukmajaya, Depok",1600000000,3,300,409
"Tirtajaya, Depok",1100000000,3,70,71
"Citayam, Depok",390000000,2,50,81
"Sawangan Baru, Depok",280000000,2,60,80
"Tapos, Depok",500000000,2,42,60
"Beji, Depok",150000000,1,24,28
"Citayam, Depok",250000000,2,36,50
"Cimanggis, Depok",365000000,3,56,90
"Sukmajaya, Depok",500000000,2,40,63
"Beji Timur, Depok",500000000,2,40,63
"Sukmajaya, Depok",600000000,3,120,122
"Cipayung, Depok",860000000,2,52,113
"Cinere, Depok",180000000,2,32,50
"Beji, Depok",1200000000,3,100,88
"Sawangan, Depok",190000000,2,36,50
"Cipayung, Depok",725000000,2,45,77
"Cinere, Depok",750000000,3,60,65
"Kelapa Dua, Depok",491200000,3,43,65
"Sawangan, Depok",690300000,3,60,60
"Gandul, Depok",240000000,2,30,40
"Cinere, Depok",750000000,3,60,65
"Beji, Depok",1200000000,3,100,88
"Cinere, Depok",180000000,2,32,50
"Cipayung, Depok",725000000,2,45,77
"Sawangan, Depok",190000000,2,36,50
"Pondok Cina, Depok",2950000000,10,400,247
"Beji, Depok",826000000,3,61,63
"Cinere, Depok",820000000,3,72,60
"Sawangan, Depok",715000000,3,70,65
Depok,506604000,3,47,120
"Bedahan, Depok",500000000,3,60,72
"Pasir Putih, Depok",265000000,2,40,30
"Sukmajaya, Depok",485000000,2,50,100
"Cinere, Depok",6800000000,4,411,635
"Depok, Depok",240000000,2,30,50
"Kelapa Dua, Depok",1393200000,3,101,78
"Cimanggis, Depok",750000000,3,71,62
"Depok, Depok",700000000,2,63,110
"Harjamukti, Depok",2000000000,4,130,128
"Sukmajaya, Depok",5800000000,5,400,805
"Tapos, Depok",1130000000,2,75,164
"Depok, Depok",300000000,3,60,72
"Pancoran Mas, Depok",295000000,2,36,60
"Sawangan, Depok",330120000,1,45,72
"Pancoran Mas, Depok",325000000,2,40,60
"Sawangan, Depok",330120000,1,45,72
"Sukmajaya, Depok",1020000000,3,80,97
"Beji, Depok",785000000,7,104,75
"Sawangan, Depok",240000000,2,30,40
"Pondok Petir, Depok",851500000,3,140,131
"Sawangan, Depok",200000000,2,36,45
"Sukmajaya, Depok",1645000000,3,133,120
"Cinere, Depok",1750000000,2,100,162
"Cinere, Depok",700000000,3,80,96
"Cimanggis, Depok",500000000,2,56,63
"Sukmajaya, Depok",2920000000,4,120,194
"Sawangan, Depok",600000000,2,78,90
"Margonda, Depok",240000000,2,30,40
"Cilodong, Depok",1490000000,4,100,90
"Depok, Depok",215000000,2,38,45
"Kelapa Dua, Depok",900000000,3,60,72
"Sawangan, Depok",785000000,3,70,73
"Cilodong, Depok",750000000,2,88,88
"Pancoran Mas, Depok",500000000,2,55,53
"Margonda, Depok",350000000,3,46,72
"Maruyung, Depok",390000000,2,50,56
"Bojongsari, Depok",150000000,2,27,30
"Beji, Depok",660000000,2,40,60
"Cinere, Depok",2040000000,2,150,113
"Sukmajaya, Depok",1300000000,3,100,120
"Depok, Depok",1300000000,3,91,120
"Limo, Depok",540000000,2,40,60
Depok,1900000000,4,105,90
"Tanah Baru, Depok",240000000,2,30,40
"Cinere, Depok",1700000000,3,120,205
"Sawangan, Depok",400000000,1,137,137
"Cinere, Depok",155000000,2,40,60
"Cimanggis, Depok",700000000,2,42,30
"Cinere, Depok",773500000,3,97,63
"Cimanggis, Depok",800000000,3,61,52
"Sawangan, Depok",450000000,2,78,72
"Kelapa Dua, Depok",799000000,3,66,68
"Citayam, Depok",150000000,2,35,35
"Cinere, Depok",6000000000,4,400,550
"Cilodong, Depok",595000000,3,60,104
"Tapos, Depok",550000000,2,50,90
"Gandul, Depok",2046000000,3,120,120
"Sukmajaya, Depok",2500000000,5,200,120
"Citayam, Depok",250000000,2,36,50
"Pancoran Mas, Depok",150000000,2,27,30
"Sawangan, Depok",199000000,2,36,40
"Pancoran Mas, Depok",150000000,2,27,30
"Cimanggis, Depok",600000000,2,40,60
Depok,398000000,2,65,54
"Tirtajaya, Depok",2500000000,5,200,120
"Sukmajaya, Depok",1800000000,4,160,120
Depok,367000000,2,27,75
"Pondok Jaya, Depok",950000000,2,60,81
"Cimanggis, Depok",7800000000,80,1500,1450
"Cinere, Depok",1700000000,3,85,72
"Pangkalan Jati, Depok",433755000,2,45,80
"Kukusan, Depok",1374213500,3,74,66
"Tapos, Depok",150000000,2,27,30
"Beji, Depok",750000000,3,56,65
"Cimanggis, Depok",670000000,2,50,84
"Jatimulya, Depok",715000000,3,60,60
"Cinere, Depok",1600000000,3,150,108
"Cinere, Depok",7800000000,6,650,400
"Kukusan, Depok",11000000000,10,1600,1075
"Citayam, Depok",300000000,2,36,75
"Sukmajaya, Depok",400000000,3,64,103
"Sukmajaya, Depok",435000000,2,50,78
"Sukmajaya, Depok",390000000,3,75,90
"Beji, Depok",3500000000,16,360,502
"Cinere, Depok",700000000,2,58,66
"Cinere, Depok",990000000,3,100,160
"Tanah Baru, Depok",699000000,2,55,65
"Sukmajaya, Depok",240000000,2,30,40
Depok,240000000,2,30,40
"Kelapa Dua, Depok",686000000,3,70,44
"Kukusan, Depok",1480000000,2,110,136
"Kukusan, Depok",1525000000,3,60,90
"Citayam, Depok",250000000,2,40,60
"Citayam, Depok",372000000,2,30,72
Depok,1100000000,4,110,80
"Cilodong, Depok",1000000000,3,126,320
"Pancoran Mas, Depok",150000000,2,27,30
"Cilodong, Depok",1330000000,2,36,232
"Cinere, Depok",1350000000,4,115,90
"Sawangan, Depok",370000000,2,36,70
"Tapos, Depok",200000000,2,60,67
"Cinere, Depok",700000000,2,50,91
"Sawangan, Depok",1200000000,4,193,150
"Pancoran Mas, Depok",750000000,3,60,80
Depok,265100000,2,54,54
"Sawangan, Depok",150000000,2,33,50
"Sukmajaya, Depok",950000000,3,75,84
"Cinere, Depok",4250000000,14,500,715
"Sawangan, Depok",395000000,2,42,60
"Citayam, Depok",215000000,2,36,60
"Kelapa Dua, Depok",685000000,3,65,60
"Citayam, Depok",375000000,2,45,60
"Cilodong, Depok",700000000,3,73,73
"Cinere, Depok",1820000000,3,300,165
